Pathway	ES	NES	Nominal p	FDR q	Tag (%)	Gene (%)	Lead_genes
Xenobiotic Metabolism	-0.1877143180090932	-0.9338778808242332	0.6118299445471349	0.9403201958965104	30/140	20.78%	ARG2;SERTAD1;IGFBP4;DHRS7;ALDH9A1;PMM1;SERPINE1;PC;SLC35D1;TPST1;TMEM176B;PGRMC1;CYP2J2;PDK4;PINK1;IGF1;CDA;AHCY;TGFB2;SMOX;CYP2S1;SERPINA6;ABHD6;PPARD;ATOH8;UPP1;PTGES3;MAOA;SLC12A4;LCAT
UV Response Up	-0.2034899751329723	-0.9791373152435526	0.5112359550561798	0.8212372072785343	30/119	22.23%	CDK2;SLC25A4;NPTX2;PDLIM3;HSPA13;HSPA2;GAL;NPTXR;STK25;MGAT1;CDC34;EIF5;TUBA4A;UROD;MSX1;CDKN2B;IGFBP2;FGF18;YKT6;CTSV;DLG4;WIZ;EPCAM;CREG1;DNAJB1;MAOA;BAK1;PRPF3;ATP6V1F;GRPEL1
Hypoxia	-0.1955139676931028	-0.9812058228205988	0.4935064935064935	0.8649578678461128	40/155	22.28%	PIM1;CHST3;PLIN2;HK1;SAP30;PGF;ACKR3;AK4;ILVBL;PPP1R3C;GAA;CAVIN1;SERPINE1;SLC25A1;SIAH2;MAFF;NDST1;RRAGD;CAVIN3;GPC1;PDK3;CAV1;GALK1;VHL;CXCR4;PPP1R15A;GPC4;STBD1;SDC2;LXN;SDC4;BGN;FAM162A;IDS;TES;MXI1;PNRC1;EXT1;TGFB3;ISG20
KRAS Signaling Up	-0.201004621939087	-1.0037671301430828	0.4565619223659889	0.8260393233436281	35/144	22.46%	ALDH1A3;ADGRL4;DUSP6;NRP1;IGF2;ITGB2;TMEM176A;GNG11;SPRY2;YRDC;ADGRA2;CFH;TMEM100;ETV4;RGS16;TMEM176B;NAP1L2;SPP1;ITGBL1;C3AR1;MAFB;CXCR4;PPP1R15A;GUCY1A1;PLEK2;HBEGF;INHBA;LAPTM5;TMEM158;ADAMDEC1;TSPAN1;MMP11;RELN;MAP4K1;NIN
Unfolded Protein Response	-0.2163734775489771	-1.012388894397941	0.4354527938342967	0.8473710298547299	29/102	24.93%	ATF4;ARFGAP1;ZBTB17;SLC1A4;TATDN2;EDC4;TUBB2A;SRPRA;CXXC1;EIF4A1;SLC7A5;SPCS1;DNAJB9;EEF2;EIF2S1;DKC1;GEMIN4;SDAD1;ATF6;EXOSC2;RRP9;PDIA5;IFIT1;EXOSC5;NOP56;BANF1;PSAT1;SPCS3;NPM1
DNA Repair	-0.2091321394935054	-1.0290256317700648	0.3699186991869919	0.8418453091499952	37/132	20.94%	EIF1B;GTF2F1;POLR3GL;GTF3C5;APRT;NT5C;TAF13;VPS37D;TAF1C;VPS28;POLR2F;GUK1;POLR1C;ERCC1;RBX1;SAC3D1;POLR3C;PNP;NME3;USP11;NELFCD;POLR2G;CDA;ALYREF;GTF2A2;SUPT5H;STX3;SF3A3;CLP1;EDF1;ZWINT;TAF6;BCAP31;POLR2I;NME4;NELFB;SNAPC4
IL-2/STAT5 Signaling	-0.2170937262563792	-1.0830098804576462	0.2722222222222222	0.682642569362362	28/154	12.04%	PIM1;ITGAE;PLIN2;MAPKAPK2;MAP6;TNFRSF4;DCPS;NOP2;PRNP;NRP1;PUS1;APLP1;SYT11;CTSZ;CD81;MAFF;SHE;ETV4;CKAP4;RGS16;RRAGD;PLPP1;ARL4A;TIAM1;F2RL2;BATF3;SPP1;PTGER2
Oxidative Phosphorylation	-0.2155534285524284	-1.1068948348473784	0.226691042047532	0.6508490556227621	53/188	22.23%	RHOT2;OGDH;ACADVL;DLAT;HSD17B10;SLC25A4;ATP5PB;ATP5PF;ECI1;ATP5MG;COX7A2;GLUD1;COX7A2L;ATP6V1G1;IDH3G;ATP6V0B;ISCA1;PDK4;NDUFS2;POLR2F;MPC1;ATP6V1E1;NDUFC2;PDHA1;COX5A;TIMM17A;MRPL34;SLC25A20;MRPL35;MRPS22;OAT;UQCRH;BAX;NDUFB1;SLC25A11;NDUFB6;NDUFA8;NDUFA1;COX6A1;ACADM;TOMM22;CYC1;ATP6V0E1;NDUFB5;IDH2;UQCRQ;PDHB;SLC25A5;NDUFA3;UQCRC1;ATP6V1F;COX7B;GRPEL1
Adipogenesis	-0.2289800639406625	-1.1506504511219304	0.1798165137614679	0.5449041064551797	51/161	25.75%	BCL2L13;PPP1R15B;PLIN2;CAVIN2;PDCD4;DLAT;DHRS7;LPL;SNCG;CMPK1;RNF11;AGPAT3;FZD4;MTCH2;CAVIN1;JAGN1;SLC25A1;CPT2;CHUK;IDH3G;RAB34;MYLK;ITGA7;ARL4A;FABP4;SOD1;DNAJB9;TALDO1;SLC5A6;LIFR;COX6A1;ACADM;CYC1;PIM3;UQCRQ;APLP2;CDKN2C;UQCRC1;CHCHD10;PTGER3;COX7B;GRPEL1;COQ5;CMBL;PFKL;GPD2;ECH1;ARAF;C3;UBC;SDHB
Pancreas Beta Cells	-0.3825976682520884	-1.1796125862519242	0.2454361054766734	0.5001122676800414	7/17	31.40%	FOXO1;SPCS1;MAFB;SRP14;SCGN;SEC11A;CHGA
Estrogen Response Late	-0.2394612808970389	-1.202359260832053	0.1045364891518737	0.4834902962595798	56/157	27.65%	PDCD4;IGFBP4;JAK1;SLC1A4;PDLIM3;TPSAB1;GAL;ABCA3;PRSS23;PLXNB1;SIAH2;HMGCS2;NAB2;SLC7A5;CDC20;KCNK5;ATP2B4;XRCC3;TFF1;TIAM1;CYP4F11;DUSP2;GPER1;CAV1;CELSR2;CACNA2D2;ST14;DHRS2;GJB3;SORD;PTPN6;FAM102A;CKB;NBL1;DNAJC12;IDH2;SLC29A1;ARL3;PTGER3;TJP3;ISG20;TFAP2C;MDK;LLGL2;TSTA3;TSPAN13;ABHD2;CISH;BATF;DCXR;OPN3;KLF4;BTG3;NCOR2;PRKAR2B;BCL2
Angiogenesis	-0.3710558009947639	-1.304603593735305	0.1134215500945179	0.2624775994204446	8/27	11.69%	JAG2;KCNJ8;LPL;NRP1;THBD;FGFR1;MSX1;SPP1
Myc Targets V2	-0.3361834333663763	-1.3905186150719542	0.0671641791044776	0.1537347008807717	24/56	26.37%	NOP2;PUS1;NIP7;PPAN;DUSP2;FARSA;NOP16;SORD;GRWD1;MYC;MAP3K6;NDUFAF4;RRP9;IPO4;SRM;PHB;DCTPP1;TCOF1;EXOSC5;NOP56;TFB2M;NPM1;MYBBP1A;PES1
Apical Junction	-0.2831480838280878	-1.4023726904432463	0.0152091254752851	0.1667594463720593	40/143	19.00%	ACTN4;AMIGO1;CLDN5;GTF2F1;CD34;NRXN2;ICAM5;RRAS;BAIAP2;IRS1;PCDH1;JAM3;NECTIN2;YWHAH;ITGB4;ADAMTS5;NEGR1;RSU1;NFASC;FBN1;CAP1;SPEG;WASL;MYL9;ACTC1;CD276;PLCG1;CDH6;WNK4;CX3CL1;PFN1;B4GALT1;HRAS;ZYX;TUBG1;TSPAN4;INPPL1;CNN2;THBS3;CLDN9
Coagulation	-0.3673843084027434	-1.6915709424026868	0.002016129032258	0.0120105235063102	39/88	26.74%	TIMP3;DUSP6;THBS1;RAPGEF3;SPARC;PRSS23;CRIP2;SERPINE1;CFH;MST1;CLU;ITGB3;MAFF;GSN;HMGCS2;C1QA;PEF1;THBD;FBN1;F2RL2;HPN;A2M;USP11;RABIF;SERPING1;CTSV;GNG12;HTRA1;GNB2;MMP11;MMP2;FN1;LAMP2;S100A13;ANG;C3;RGN;KLF7;CFI
p53 Pathway	-0.3405483079283941	-1.7184135816539874	0.001	0.0124553577102477	62/155	26.39%	JAG2;PRMT2;RALGDS;SERTAD3;PLK3;CDK5R1;F2R;NUPR1;INHBB;VAMP8;RNF19B;BAIAP2;TAX1BP3;RPL18;DGKA;PMM1;IRAK1;RRP8;CD81;CDKN2A;SLC35D1;ITGB4;MKNK2;CDKN2AIP;RGS16;TGFB1;SPHK1;CDKN2B;TCN2;HRAS;DNTTIP2;RPL36;PPP1R15A;TM4SF1;ST14;RXRA;BAX;PROCR;S100A10;HBEGF;RAB40C;IFI30;AEN;MAPKAPK3;PIDD1;FAM162A;UPP1;RACK1;BAK1;ELP1;CD82;SEC61A1;FOXO3;TRIAP1;MXD4;IP6K2;PLXNB2;RAD51C;GM2A;DCXR;DEF6;KLF4
Epithelial Mesenchymal Transition	-0.3676010729108858	-1.8722176833284487	0.001	0.0037366073130743	52/161	19.95%	TIMP3;GEM;EDIL3;IGFBP4;TNFRSF12A;MGP;GJA1;PDLIM4;PLOD3;LAMA2;GLIPR1;THBS1;APLP1;SPARC;GPX7;ELN;PLOD2;SERPINE1;LOXL1;ITGB3;NNMT;COL4A2;MYLK;TGFB1;FBN1;FGF2;COLGALT1;MYL9;GPC1;MSX1;LAMC1;SPP1;VIM;IGFBP2;CDH6;SCG2;PCOLCE;FMOD;SERPINE2;BASP1;EFEMP2;COL11A1;CTHRC1;COPA;SDC4;HTRA1;INHBA;BGN;COL8A2;FSTL1;VCAN;TPM2
Myogenesis	-0.4094703567976213	-1.972041739697434	0.001	0.001	47/125	19.95%	PTGIS;DES;PRNP;CTF1;LAMA2;SCHIP1;FHL1;SPARC;MRAS;PPP1R3C;GAA;MYH3;EFS;PC;APLNR;CLU;ITGB4;GSN;COL4A2;MYLK;TGFB1;ITGA7;FKBP1B;HSPB2;SPEG;TCAP;FGF2;GABARAPL2;SPHK1;FDPS;ACTC1;ADCY9;CKMT2;DMD;IGF1;MYH11;CHRNB1;EPHB3;AGRN;BDKRB2;HBEGF;CKB;SH2B1;DMPK;SMTN;FOXO4;TPM2
